latitude,longitude,available_channels,occupied_channels,signal_strength,interference_level
-29.847913,27.837971,"[41, 25, 30, 22, 66, 50, 59, 58, 42]","[22, 41]",-72.76,Medium
-29.227662,27.407402,"[54, 61, 62, 31, 68]","[66, 23, 46, 44, 63]",-74.45,Low
-29.775912,27.511902,"[45, 58, 50, 22, 66, 30, 59, 42]","[22, 41]",-73.26,Medium
-29.705576,27.457631,"[41, 25, 30, 66, 58]","[22, 41]",-71.49,Low
-29.617443,27.580192,"[54, 31, 68, 59]","[66, 63]",-75.10,Low
-29.740832,27.525765,"[41, 58, 25, 30, 59]","[22, 41]",-70.94,Medium
-29.827943,27.477351,"[45, 58, 30, 22, 66, 59]","[41, 58]",-72.33,Medium
-28.812162,28.033095,"[45, 29, 54, 36]","[55, 33]",-64.97,High
-29.594264,28.746529,"[45, 50, 31, 58, 41, 25]","[22, 41]",-73.62,Low
-29.467852,28.631192,"[54, 25, 41, 30, 66]","[66, 23]",-74.83,Medium
-29.560184,28.750983,"[41, 25, 58, 30, 66]","[22, 41]",-70.98,Medium
-29.472221,28.682421,"[54, 31, 66, 42, 58]","[66, 23]",-71.39,Low
-29.492136,28.634232,"[45, 50, 58, 66, 30]","[41, 58]",-72.71,Low
-30.259839,27.970450,"[41, 58, 50, 25, 66]","[22, 41]",-74.56,Medium
-30.151876,28.030005,"[54, 68, 31, 66, 42]","[23, 46]",-70.44,Low
-30.110064,28.022393,"[45, 30, 58, 50, 66]","[22, 41]",-72.19,Medium
-30.221658,27.953760,"[41, 54, 30, 42, 58]","[66, 23]",-73.17,Low
-30.163212,28.015225,"[45, 31, 25, 41, 50]","[22, 41]",-71.86,Low
-29.080455,27.965892,"[54, 58, 25, 66, 30]","[41, 58]",-74.90,Low
-29.018445,28.073929,"[41, 31, 50, 25, 58]","[22, 41]",-73.71,Medium
-28.953644,28.045832,"[45, 58, 30, 66, 41]","[22, 41]",-72.84,Low
-28.907333,28.056107,"[41, 58, 50, 66, 25]","[22, 41]",-70.99,Medium
-29.071008,27.993293,"[45, 54, 58, 31]","[66, 23]",-74.01,Low
-29.655570,27.512330,"[45, 58, 50, 22, 66, 30, 59, 42]","[22, 41]",-73.26,Low
-29.655590,27.512350,"[41, 25, 30, 66, 58]","[22, 41]",-71.49,Low
-29.537860,28.668020,"[45, 50, 31, 58, 41, 25]","[22, 41]",-73.62,Low
-29.537875,28.668010,"[54, 25, 41, 30, 66]","[66, 23]",-74.83,Low
-30.179450,27.989820,"[45, 58, 50, 22, 66, 30]","[22, 41]",-74.56,Low
-30.179430,27.989840,"[41, 25, 30, 66, 58]","[22, 41]",-71.44,Low
-28.989635,28.020355,"[54, 58, 25, 66, 30]","[41, 58]",-74.90,Low
-28.989650,28.020370,"[45, 58, 30, 66, 41]","[22, 41]",-73.71,Low
-30.113452,27.236635,"[65, 60, 68, 26, 34, 58, 64, 40, 47, 52]","[23, 62, 39, 46]",-79.6,High
-29.524842,28.96865,"[48, 54]","[56, 29, 64, 47]",-90.32,High
-30.177938,29.110207,"[50, 63, 60, 62, 39]","[63, 21]",-77.72,Medium
-30.626321,28.652793,"[65, 63, 23, 51]","[40, 56, 53, 46, 21]",-84.76,Medium
-29.776809,29.033275,"[44, 46, 43, 23, 42, 56]","[41, 37, 51, 47, 48]",-79.67,Medium
-29.446563,27.413302,"[49, 60, 22, 68, 38, 33, 54, 63]","[56, 68]",-71.98,High
-30.123046,27.884814,"[42, 43, 26, 31, 51, 40, 41, 66]","[31, 54, 68, 43, 60]",-79.55,Low
-29.233132,27.000197,"[56, 68]","[28, 31, 33]",-73.07,High
-30.303269,28.961191,"[39, 55, 49]","[48, 32, 41, 36, 39]",-76.59,High
-30.341039,27.394636,"[36, 31, 48, 33, 26, 43]","[68, 61, 22]",-81.04,High
-28.889412,29.019211,"[52, 25, 34, 61, 30, 33, 21, 68, 23]","[31, 58, 43, 52]",-74.84,High
-29.265741,28.372593,"[50, 63, 24, 45, 38, 36]","[31, 42, 61, 23]",-90.43,Medium
-28.655416,27.421836,"[62, 25, 37, 56]","[43, 60]",-89.59,High
-29.275645,27.36438,"[66, 48, 58, 54, 50, 56, 30]","[40, 54, 51, 30, 43]",-77.14,Low
-30.278027,27.584791,"[65, 21]","[62, 22, 46]",-73.74,High
-29.488904,28.332883,"[57, 54, 23, 47, 30, 34, 25, 28]","[46, 61, 65]",-85.87,High
-30.231317,28.357472,"[40, 47, 32, 61, 55, 36, 64, 58, 37, 28]","[53, 51]",-89.62,Medium
-29.788339,29.298006,"[68, 36, 34, 60, 44, 41]","[64, 31, 24, 48]",-79.88,High
-28.66452,27.822269,"[46, 26, 64, 58, 34, 42]","[31, 36, 27, 53, 65]",-91.21,High
-30.208986,27.670382,"[59, 61, 29, 55, 57, 40, 26, 51, 49, 39]","[28, 61, 41, 44, 55]",-79.41,Low
-29.231137,28.070104,"[64, 36, 28, 30, 48, 67]","[41, 46, 31, 57]",-83.99,High
-28.9368,28.214156,"[52, 41, 34]","[41, 34]",-82.83,High
-29.396749,27.73253,"[38, 46, 67, 40, 41]","[40, 55, 49, 43, 34]",-84.29,High
-29.257671,29.270659,"[22, 46, 55, 64]","[24, 27, 49]",-97.45,High
-28.632587,29.236088,"[41, 51, 21, 49, 64, 65, 55, 31]","[43, 30, 36, 21, 52]",-77.46,Low
-29.060575,28.398596,"[62, 65, 56, 25, 29, 61, 32, 49, 44]","[56, 64, 55, 49, 28]",-68.93,Low
-29.729469,28.07499,"[54, 21, 40, 39]","[37, 39]",-67.84,Low
-28.975603,27.813616,"[43, 39, 64, 68, 23, 35]","[55, 48, 65, 40]",-72.53,Low
-29.163874,28.924818,"[24, 67, 33, 57, 46, 55, 34, 53, 65, 59]","[50, 30, 36]",-73.08,High
-30.443874,27.30633,"[29, 49, 22, 60, 23, 50, 31, 41, 25]","[21, 44, 61, 66, 32]",-74.24,Low
-29.131216,27.70586,"[21, 41, 51, 53, 33, 25, 57, 22, 39, 58]","[42, 64, 35, 45]",-71.36,High
-28.935134,27.582096,"[64, 24, 40, 41, 30, 51, 53, 54, 63]","[45, 57, 66]",-79.25,High
-29.232293,28.897246,"[58, 44]","[25, 55, 58, 46, 38]",-86.78,Low
-28.791225,28.888639,"[37, 67, 30, 57, 52, 47, 33, 35, 61, 45]","[32, 31, 56, 40]",-81.11,Low
-29.903818,27.93324,"[55, 50, 59, 38, 67, 41]","[50, 58, 51, 65, 48]",-95.94,High
-28.84081,28.657035,"[62, 45, 23, 25, 41, 22, 51, 57, 58, 55]","[62, 40, 46, 30, 38]",-71.87,Low
-28.91811,27.751759,"[47, 54, 38, 48, 53, 62, 37, 60, 21]","[36, 53, 45, 24, 39]",-87.65,High
-29.108961,27.349806,"[33, 42, 25, 49, 62, 43]","[39, 48, 56, 37]",-73.86,High
-29.643065,28.233615,"[49, 28, 22, 29, 35, 46, 55, 68, 54, 65]","[66, 23, 38, 27, 56]",-89.83,Low
-30.481156,27.425195,"[47, 59, 28, 45, 38]","[38, 56, 46]",-85.21,Low
-28.94507,28.509738,"[35, 45, 61, 29, 32, 49, 50, 55, 63, 33]","[21, 40, 62, 36]",-86.68,High
-30.184814,28.899569,"[41, 32, 26, 54, 64]","[26, 34, 40, 21]",-81.16,Low
-29.129161,28.49079,"[66, 48, 36, 42, 46, 38]","[30, 35, 53]",-82.83,High
-30.465507,27.317457,"[48, 31, 25, 40, 26, 60, 44]","[38, 48, 25, 49, 22]",-96.42,Medium
-29.466,28.07899,"[34, 55, 46, 50, 37, 63, 43]","[52, 23, 62, 43, 27]",-87.71,Medium
-30.463083,28.674159,"[55, 31, 37, 41, 36, 52, 45, 44]","[43, 62, 28, 57]",-71.26,Low
-29.776432,27.2035,"[45, 43, 51, 38, 30, 48, 35, 42]","[40, 63, 48, 55]",-84.53,Low
-29.443363,28.584857,"[44, 43, 53, 22, 67, 36]","[64, 21, 30, 42]",-69.79,High
-28.734828,28.179278,"[40, 44, 46]","[47, 26]",-75.94,High
-28.782691,28.200161,"[36, 42, 51, 55, 38, 46, 68, 63, 66]","[65, 51, 66, 38, 56]",-87.94,High
-30.498688,27.154192,"[21, 52, 49, 36, 25, 46, 26, 54]","[30, 64]",-68.82,Medium
-29.86925,28.023378,"[53, 44, 38, 36, 58, 34, 29, 47, 57]","[59, 27, 63, 30]",-87.88,High
-30.421532,28.000294,"[61, 48, 27, 38]","[67, 50]",-89.14,Low
-30.158683,29.07502,"[23, 60, 35, 30, 46, 28, 36, 51]","[24, 39, 43]",-81.3,High
-30.126019,28.752984,"[46, 27, 40, 36, 68]","[44, 52, 37, 55]",-74.93,Low
-30.00903,27.891499,"[60, 29, 25, 43, 21, 24]","[61, 48, 38, 56]",-91.8,Low
-28.788285,28.010305,"[54, 44]","[32, 30, 24, 26, 40]",-82.72,High
-29.606391,27.553169,"[51, 55, 36, 46, 27, 68, 32, 22, 38]","[39, 50, 23]",-77.24,Medium
-30.293283,28.711176,"[49, 36, 30]","[21, 60, 29, 53]",-84.07,High
-30.010147,27.604489,"[53, 63, 45, 26, 42, 34, 55, 28, 37, 64]","[62, 46]",-80.14,Medium
-28.724002,29.092712,"[51, 42, 48, 50, 67, 58, 21, 59]","[50, 35, 51, 53]",-82.04,High
-30.485146,27.420483,"[55, 30, 54, 64, 27, 21, 56, 68, 39, 59]","[44, 25, 64, 40, 65]",-74.4,High
-30.681705,27.166783,"[65, 42, 41]","[22, 34]",-91.88,Low
-30.432123,29.141968,"[53, 57, 55, 21, 39, 49, 59, 29]","[27, 39, 21]",-75.27,Low
-29.576998,27.430947,"[54, 30, 33, 35, 63, 44, 42]","[64, 53, 41]",-90.08,High
-29.293374,28.983829,"[27, 60]","[26, 60]",-80.41,Low
-29.281984,29.324561,"[55, 43]","[56, 22, 36]",-83.68,Medium
-28.717839,28.883193,"[43, 46, 45]","[68, 23, 29, 25]",-85.36,High
-29.531102,27.510074,"[39, 25, 44, 48, 22, 46, 23]","[40, 29, 30, 65]",-74.26,Low
-28.68696,27.892335,"[65, 21, 51, 31, 32]","[49, 64, 27, 41]",-81.91,Medium
-29.500966,28.839184,"[60, 22, 49, 26, 58, 33, 38, 41]","[52, 41]",-76.49,Medium
-29.703661,29.361635,"[40, 32]","[46, 33, 51]",-71.96,Medium
-28.875828,28.508743,"[21, 48, 27]","[50, 38, 63]",-81.72,Low
-30.047822,28.785956,"[26, 62, 32, 65, 23, 46, 54, 43]","[24, 25, 29]",-77.19,Medium
-30.54502,29.347772,"[57, 60, 35, 38, 37, 47]","[52, 60, 40, 65]",-60.01,High
-28.754565,27.675622,"[48, 62, 31, 47, 59]","[54, 43]",-78.03,Medium
-29.586835,28.25008,"[59, 33]","[63, 41]",-90.98,Low
-29.29252,28.74958,"[33, 47, 21, 41, 50]","[68, 35, 66, 57]",-72.97,High
-29.280632,29.350088,"[59, 50, 21, 22, 29, 31, 23, 39, 42]","[46, 45, 49]",-74.48,Low
-28.605644,28.969482,"[29, 23, 32, 55]","[49, 62, 66, 40]",-74.99,Medium
-29.709464,28.597293,"[43, 48, 32, 61]","[23, 64, 58, 40]",-89.86,Low
-29.526141,29.418039,"[41, 27]","[46, 25]",-90.63,Medium
-30.092195,29.495441,"[40, 33, 36, 49]","[68, 64]",-73.43,High
-28.635386,28.852163,"[54, 44]","[29, 33, 58]",-100.74,Medium
-29.437847,29.209361,"[40, 50, 29, 56]","[48, 32, 25, 50, 44]",-83.9,Medium
-30.659952,29.068321,"[46, 67, 62]","[63, 57, 61]",-85.95,Low
-29.873812,28.423959,"[25, 37, 63, 47, 54, 66]","[21, 58]",-94.49,Medium
-30.058839,28.041574,"[46, 43]","[57, 25, 21, 42, 67]",-94.36,Medium
-29.98319,29.247753,"[51, 52, 37, 34, 53]","[36, 52, 47, 28, 56]",-77.7,Low
-29.238184,27.803935,"[21, 62]","[25, 61, 50]",-77.28,Low
-28.789392,29.259847,"[67, 32, 34, 57, 24, 35, 56]","[52, 65, 48, 37, 41]",-82.69,High
-28.897328,27.91868,"[31, 61, 55, 36, 28]","[31, 57, 41, 55]",-83.35,High
-30.387061,29.187896,"[54, 25, 28, 58]","[29, 43, 46, 53, 23]",-83.49,High
-30.476483,28.739284,"[34, 50, 58, 59, 44, 42, 43, 60, 21]","[51, 64, 60]",-80.59,High
-29.856286,27.082273,"[48, 23, 42]","[42, 50, 28, 60]",-91.37,High
-30.514261,27.464474,"[38, 23]","[61, 32, 47]",-86.29,Medium
-29.422507,29.021708,"[28, 34, 21, 64, 55]","[29, 28, 62, 41]",-81.32,High
-30.288811,27.015858,"[40, 26]","[54, 60, 37]",-80.9,Low
-29.581268,27.75838,"[26, 46]","[42, 45, 47, 27]",-74.73,High
-29.05418,28.939349,"[36, 45, 61]","[52, 47, 43]",-62.66,Low
-28.910165,27.047601,"[23, 34, 24, 56, 51]","[30, 51, 59]",-79.46,High
-30.542088,28.701107,"[37, 33, 54, 53, 52, 28, 26, 21]","[57, 63, 38, 45, 49]",-100.5,Medium
-30.64631,29.213613,"[45, 67, 65, 57]","[26, 49, 53]",-89.8,Low
-30.410891,29.478947,"[67, 62, 40, 26, 38, 56, 27, 45, 37]","[24, 49, 53, 46, 50]",-81.23,Medium
-30.281166,27.504192,"[26, 29, 30, 59, 41, 31, 44]","[24, 32]",-83.36,Medium
-28.87604,27.17286,"[23, 29, 52, 68, 50, 60, 39, 22]","[29, 44, 26, 50]",-65.49,High
-29.936831,29.13407,"[41, 27, 46]","[58, 25]",-95.84,Low
-29.727805,28.733851,"[61, 21]","[60, 25]",-77.55,High
-29.643418,28.978767,"[58, 25, 26, 44, 56, 60, 27, 52]","[24, 26, 42, 66]",-78.47,Low
-29.29812,27.530658,"[48, 47, 45, 64, 23, 38, 39, 58, 55]","[39, 43, 23, 29, 64]",-77.52,Low
-29.698162,27.441991,"[37, 62, 23, 43, 49]","[30, 31]",-67.76,High
-29.73991,28.144353,"[21, 68, 27, 63, 38, 57, 22]","[45, 32, 44]",-77.3,Low
-29.984253,27.070931,"[48, 63, 33, 24, 57, 44, 59, 50, 62, 40]","[39, 37]",-76.09,Low
-29.172803,28.922949,"[55, 35, 42, 26]","[26, 64, 33, 49]",-77.65,Low
-29.443697,28.994374,"[44, 43, 58, 59, 47]","[51, 67, 21, 27, 48]",-83.07,High
-30.657628,27.730932,"[28, 30, 27, 36]","[66, 33]",-90.93,Medium
-30.379153,28.413935,"[56, 44, 51, 35, 60]","[67, 49, 28, 57, 43]",-66.18,High
-30.280042,27.422349,"[58, 49, 25, 68, 38, 24, 66, 65, 34, 45]","[41, 38]",-67.53,Low
-30.48479,29.371448,"[51, 27, 50, 39, 68, 29, 60]","[33, 40, 37]",-66.4,High
-30.377432,27.470508,"[24, 33, 54, 68, 61, 25, 56, 37, 63]","[27, 29, 41, 21, 40]",-68.49,Low
-30.213345,28.967414,"[38, 21, 58, 51, 27, 23]","[56, 38, 22, 42]",-81.59,Medium
-29.327429,28.854032,"[64, 42, 48, 52, 41, 24, 31, 39, 22, 33]","[31, 39]",-80.36,Medium
-30.344562,27.339717,"[48, 67, 36, 60, 23, 34, 25]","[27, 47]",-85.56,High
-28.702488,27.311698,"[31, 35, 57, 65, 30, 44, 43, 25, 48]","[30, 53, 63, 48, 41]",-54.65,Medium
-30.35971,27.001383,"[54, 51]","[21, 63, 65, 43]",-75.6,High
-30.263632,28.770982,"[25, 28, 48, 67, 36, 40, 65]","[45, 40, 51, 32]",-68.05,High
-30.552841,28.886786,"[37, 60, 21, 41, 28, 46, 43, 35]","[29, 40, 52, 33, 32]",-89.02,High
-29.482277,28.818662,"[60, 57, 50, 40, 46]","[39, 46, 31, 35]",-72.05,Low
-28.735145,27.754593,"[29, 49, 47, 59]","[34, 62, 60]",-86.34,High
-30.532634,28.147878,"[66, 24, 59, 38, 68, 43, 39, 48]","[57, 56, 58, 51, 48]",-76.03,Medium
-29.527485,29.14682,"[40, 38, 34, 57, 30, 49, 68, 46, 63, 37]","[50, 42, 51]",-87.15,Medium
-28.756544,28.126413,"[56, 45, 59, 61, 38, 30, 42]","[32, 62, 27, 55]",-79.84,High
-30.032853,28.784145,"[59, 26, 31, 43]","[42, 63]",-75.62,High
-30.634389,28.327714,"[60, 45, 33]","[60, 28, 58, 44, 31]",-66.39,Medium
-28.70715,27.273983,"[53, 21, 40, 41, 45, 66, 29]","[23, 34, 35, 31]",-79.03,Medium
-29.364771,29.171673,"[58, 33]","[46, 50, 37, 33, 26]",-71.47,Medium
-30.467158,27.04359,"[55, 31, 43, 36]","[40, 68, 36]",-80.31,High
-29.396736,28.048072,"[47, 44]","[33, 38, 30, 34, 45]",-82.92,Medium
-29.963492,28.948708,"[42, 53, 66, 24, 63, 27, 40, 49]","[65, 51, 23, 45, 35]",-78.6,High
-29.985037,29.197628,"[65, 55, 31, 54, 50, 66, 46, 22, 56, 21]","[62, 59, 36, 60, 33]",-85.47,Low
-29.679877,28.011114,"[45, 35]","[50, 58, 25, 61, 63]",-69.15,Medium
-30.517477,28.167484,"[44, 21, 54, 34, 55]","[28, 29]",-61.97,Low
-29.272121,27.018213,"[48, 56, 66, 31, 62]","[34, 26]",-78.46,High
-30.684339,27.426151,"[65, 24, 53, 56, 32, 44, 22, 64, 66, 41]","[28, 33]",-82.76,Medium
-30.431147,27.303137,"[21, 29, 30, 27, 23, 43, 65, 64, 33]","[32, 21, 45, 51, 52]",-76.04,Medium
-30.264892,27.469592,"[32, 47, 40, 53]","[65, 37]",-64.78,Medium
-29.372382,27.097935,"[33, 57, 44, 45, 38, 49]","[32, 67]",-85.97,Low
-30.419831,28.514276,"[39, 56, 64, 59, 27, 60, 25, 54]","[68, 34, 39, 48, 62]",-77.33,Low
-30.679862,27.22197,"[61, 40, 43, 63, 37, 59, 46, 49, 25]","[23, 34, 31]",-81.39,Low
-29.998292,28.650141,"[24, 25, 40, 50, 61, 54]","[48, 55]",-72.87,Medium
-29.111992,28.146736,"[25, 48, 24, 21, 37, 39, 31, 64, 66]","[45, 56]",-84.89,Low
-28.679241,28.24963,"[44, 31, 28, 63, 50, 68, 58]","[32, 29]",-84.18,Low
-30.075938,29.270975,"[33, 52, 31]","[35, 37, 48]",-89.1,High
-29.913707,28.670862,"[43, 28, 60, 26, 51, 54, 62, 57, 24, 65]","[40, 32]",-84.75,High
-28.701733,29.174949,"[66, 33, 34, 56, 57, 25, 39, 40, 53, 61]","[42, 32, 66, 41, 23]",-87.83,High
-28.906829,28.238803,"[51, 39, 61]","[22, 68, 45, 51, 36]",-87.51,High
-29.882608,27.503294,"[61, 29, 60, 35, 44, 54, 53, 67, 46, 64]","[67, 54, 38, 33, 62]",-76.38,High
-28.723972,27.785254,"[65, 22, 35, 46, 63, 25, 29, 24, 49, 48]","[36, 31]",-69.91,Low
-30.381761,27.441309,"[27, 49, 35]","[31, 68]",-75.06,Low
-30.192568,28.447074,"[60, 68, 58, 54, 55, 51]","[31, 21, 62]",-58.57,High
-29.859748,29.416975,"[49, 22, 63, 57, 58, 36, 45]","[41, 59, 66]",-80.62,High
-29.586305,27.99075,"[41, 39, 42, 37, 60, 62, 63, 49, 33, 40]","[58, 68]",-86.01,Low
-30.519997,29.319232,"[29, 34, 48, 32, 67, 46, 57, 22, 62, 23]","[51, 58, 26]",-83.54,High
-30.018692,27.994175,"[31, 68, 63, 23]","[21, 58, 27]",-67.33,High
-28.685629,28.382298,"[25, 35]","[67, 56]",-86.0,Medium
-30.525798,28.072409,"[47, 26, 53, 50, 55]","[32, 27]",-64.07,Low
-30.424895,28.731146,"[21, 59, 51, 65, 24, 31, 60, 28]","[21, 62, 41]",-107.99,Low
-29.447261,28.518359,"[64, 46, 41, 56, 25]","[53, 33, 62]",-87.96,Low
-28.892819,27.51411,"[59, 21, 25, 64, 22, 54, 56, 58, 63]","[46, 57, 32, 47]",-90.27,Medium
-30.316472,29.001694,"[21, 62, 50, 47, 55, 54, 61, 26, 34, 40]","[41, 52]",-65.03,Low
-29.827614,27.033065,"[43, 65, 59, 23, 38, 50, 26, 54, 49]","[65, 63, 44]",-86.35,Medium
-30.628174,28.479915,"[60, 54, 67, 35, 50, 58, 46, 52]","[32, 50, 37]",-83.73,High
-30.598115,27.388606,"[53, 37, 46, 24, 27, 47, 67]","[48, 56, 43]",-94.21,Medium
-30.026271,27.446582,"[31, 23, 22, 68, 41, 67, 25, 30, 65, 27]","[33, 25, 54, 46]",-84.65,High
-28.678903,28.576767,"[58, 62]","[31, 39]",-68.71,Low
-29.838425,28.985627,"[40, 49, 44]","[48, 67, 51, 61, 36]",-84.11,Low
-29.36928,28.825527,"[38, 22, 32, 48, 27]","[36, 31, 37, 68, 23]",-91.53,Medium
-30.049995,29.438086,"[24, 30, 25, 64, 39]","[57, 29, 56, 62]",-83.86,High
-30.165025,28.413312,"[40, 54, 24, 50, 29, 36]","[33, 44]",-95.44,Low
-30.389088,27.102756,"[56, 61]","[41, 30]",-75.12,Medium
-30.059204,27.427339,"[50, 65]","[63, 43]",-84.19,Low
-30.283533,28.732888,"[40, 41, 58]","[67, 68, 60]",-96.29,Medium
-30.098727,27.19503,"[47, 25, 21, 40, 35, 32, 27]","[31, 32, 50, 68]",-89.94,Low
-29.308068,29.078976,"[35, 21]","[42, 30, 47]",-67.96,High
-30.645916,28.836676,"[25, 38, 42, 53, 49, 27, 43, 44]","[37, 23, 39, 66]",-98.59,High
-29.990292,27.25291,"[53, 26]","[45, 36, 35]",-84.0,Low
-28.606651,29.387021,"[35, 25]","[66, 49, 40, 33]",-99.62,Low
-30.349613,28.912331,"[27, 66, 59, 29, 55, 45, 47, 44]","[66, 65, 60, 45, 67]",-87.35,Low
-29.250515,27.42334,"[62, 30]","[29, 60, 23, 49, 31]",-76.65,Low
-29.167161,27.395264,"[44, 57, 45, 24, 50, 31, 63, 55, 38]","[42, 59]",-81.5,Medium
-29.894847,27.629467,"[68, 40, 37, 52]","[26, 44]",-94.28,Medium
-29.950504,28.849179,"[45, 67, 51, 27, 52, 68, 30, 21]","[58, 29, 36, 38]",-70.43,Low
-30.429826,29.187322,"[63, 28, 43, 47, 66, 26, 27, 25, 39, 23]","[46, 47]",-71.42,Medium
-30.66335,27.892349,"[38, 42, 61, 60, 45, 51, 43]","[41, 54]",-74.73,Low
-30.550491,28.146613,"[49, 21, 22, 50, 61, 40]","[43, 65, 60, 23]",-92.96,Low
-29.01937,28.671788,"[39, 26, 64, 55, 53, 67, 22, 32, 49, 48]","[50, 31, 56]",-81.99,High
-29.382514,28.969091,"[37, 34, 62, 21, 29, 35, 42]","[62, 27, 31]",-73.35,Medium
-30.525386,29.360606,"[23, 59, 44, 30, 31, 41, 39, 27, 61, 24]","[42, 25]",-73.81,Medium
-30.029161,27.455735,"[43, 25, 29, 48]","[47, 59, 64, 52]",-75.54,Low
-30.666622,27.848811,"[36, 56, 44, 42, 25, 45]","[32, 57, 56]",-75.58,Low
-29.766941,29.085743,"[60, 54, 25, 26, 64, 52, 30, 41, 48, 37]","[50, 57, 67, 37, 49]",-71.15,Medium
-29.501109,28.868811,"[23, 55]","[67, 35, 27, 37, 64]",-76.44,Low
-29.661016,27.433068,"[48, 21, 54]","[26, 51, 40, 65]",-81.79,Medium
-30.386234,29.030183,"[65, 52, 41, 55, 28, 45, 26, 53, 58]","[41, 55, 38]",-85.68,Low
-29.84708,28.377542,"[27, 35, 57, 56, 42, 21, 40, 31, 62, 68]","[27, 64]",-81.56,High
-30.561887,28.983302,"[40, 33, 37, 32, 63]","[46, 67, 64, 42]",-90.75,Low
-29.233298,27.045204,"[57, 51]","[43, 32, 58, 54]",-74.37,Medium
-29.880601,27.946484,"[39, 45]","[37, 50, 49, 22]",-95.38,Medium
-29.088964,29.08973,"[56, 27, 37, 59, 32, 30, 47, 48, 23]","[50, 59, 63, 42]",-81.66,Medium
-30.000788,28.756841,"[26, 28]","[42, 37, 67, 21, 51]",-64.15,High
-29.800062,28.552992,"[33, 31, 51, 34]","[55, 44, 22]",-78.45,High
-30.064562,27.171847,"[59, 46, 40, 47, 54, 62, 68, 53]","[43, 60, 38, 51]",-89.54,Medium
-30.139056,29.018555,"[44, 21, 28, 36, 29, 48, 33, 65]","[31, 25, 42]",-68.79,Medium
-29.08496,28.70219,"[38, 23, 29, 25, 53, 27, 65]","[59, 65, 55, 61]",-75.56,Low
-29.489138,28.907811,"[54, 58]","[45, 51, 49, 65]",-80.07,Low
-30.024615,27.582001,"[67, 63]","[39, 52, 24]",-92.4,Low
-29.44246,28.187194,"[25, 50, 66, 68, 60, 55, 57, 65, 32, 47]","[27, 33, 60]",-74.83,Medium
-28.712113,28.311326,"[45, 38]","[49, 55]",-90.36,High
-29.879142,28.658855,"[64, 26, 46, 36, 33, 45, 66, 27, 54, 57]","[41, 66]",-81.06,High
-30.312501,27.834227,"[64, 34, 27, 56, 29, 53, 25, 68]","[21, 36]",-70.94,High
-29.808052,29.118334,"[58, 47, 48, 26, 36, 66]","[31, 38, 61]",-77.75,Low
-29.773579,27.612504,"[50, 65, 36, 67, 30, 21, 56, 54]","[52, 25, 29]",-73.56,Medium
-28.697796,27.76834,"[30, 47]","[51, 52, 56]",-83.14,High
-29.40338,27.317374,"[26, 28, 38, 51, 41, 52, 53, 54, 67]","[33, 39, 29]",-93.33,Low
-30.277296,28.775183,"[28, 22, 47, 65, 49]","[33, 61]",-78.24,Medium
-28.933675,27.223238,"[32, 46, 39, 58]","[25, 32, 51, 35]",-63.34,High
-30.492727,28.534951,"[22, 64, 46, 59, 55, 34, 28, 68, 50, 67]","[64, 68]",-75.86,High
-29.018774,28.213775,"[22, 24, 41, 37, 65, 32, 49, 52, 59]","[54, 21, 22]",-69.39,Medium
-29.118685,27.65882,"[36, 28]","[54, 38, 52, 61]",-87.79,Medium
-29.41154,29.060975,"[50, 42, 43, 52, 58, 65, 67]","[32, 64]",-96.36,Low
-29.238893,27.367823,"[42, 56, 37, 30, 22, 21]","[31, 36]",-77.34,Low
-28.775208,27.343162,"[50, 40, 55, 32, 30]","[40, 41]",-90.1,High
-29.517132,28.614037,"[49, 23, 25, 66, 64, 47, 44, 22, 26]","[27, 36]",-87.43,Medium
-28.877765,28.041059,"[45, 41, 68, 66, 34]","[61, 55, 27]",-76.84,Medium
-30.087104,29.278289,"[67, 39]","[41, 46, 50, 48, 40]",-87.09,Medium
-28.679239,27.92827,"[57, 47, 21, 61, 62, 53]","[23, 52, 28]",-76.36,Medium
-29.585602,27.912691,"[52, 28, 65, 32]","[48, 41, 45]",-76.77,Low
-30.324408,27.393115,"[34, 45, 48, 53, 67, 25]","[49, 22, 56, 23, 40]",-82.32,High
-29.431505,28.666296,"[31, 26, 37, 23, 59, 44, 29, 33, 34]","[57, 53, 29, 25, 50]",-65.46,Low
-29.812218,29.043972,"[66, 25, 34, 42]","[25, 52, 45, 26]",-82.04,Low
-30.314581,29.286799,"[57, 58, 37, 31]","[64, 37, 40, 65]",-88.94,Low
-30.184029,28.817324,"[31, 61, 33, 22, 62, 53, 59]","[23, 63]",-78.01,Medium
-29.03851,28.565302,"[22, 57, 48, 35, 30, 32, 55, 45, 31, 47]","[67, 32, 26, 46]",-75.7,Medium
-30.54753,28.780752,"[56, 68, 65, 29, 28, 60, 31, 24]","[36, 62, 60, 50, 52]",-77.34,Medium
-30.655724,29.250772,"[42, 47, 54, 37, 58, 28, 53]","[62, 60, 24, 53, 28]",-71.03,High
-28.834218,29.238831,"[35, 66, 29, 64, 45, 39]","[21, 53, 38, 39, 24]",-76.19,High
-29.970656,27.584952,"[34, 64, 58, 51, 49, 27, 61, 32, 37, 33]","[27, 49, 31, 62, 32]",-78.82,High
